SMILES,He,H2,N2,O2,CO2,CH4,URL,
*c1cc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(*)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(O)cc1O,341,,16.4,77,345,8.9,https://linkinghub.elsevier.com/retrieve/pii/S0376738815004998,
*c1ccc(-c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)cc1,,61,0.46,,16,0.41,http://xlink.rsc.org/?DOI=C6TA03951K,
*c1ccc(-c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)cc1,,520,16,,320,8.3,http://xlink.rsc.org/?DOI=C6TA03951K,
*c1ccc(-c2ccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)cc2)cc1,,810,8.4,,270,4,http://xlink.rsc.org/?DOI=C6TA03951K,
*c1nc2cc(C(c3ccc4oc(-c5cc(C(c6ccc(O)c(*)c6)(C(F)(F)F)C(F)(F)F)ccc5O)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,,22.1,0.24,1.54,5.76,0.13,https://linkinghub.elsevier.com/retrieve/pii/S0376738811006946,
*c1nc2cc(C(c3ccc4oc(-c5cc(C(c6ccc(O)c(*)c6)(C(F)(F)F)C(F)(F)F)ccc5O)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,,94.6,2.28,11.1,44.7,1.56,https://linkinghub.elsevier.com/retrieve/pii/S0376738811006946,
*c1nc2cc(C(c3ccc4oc(-c5cc(C(c6ccc(OC(C)=O)c(*)c6)(C(F)(F)F)C(F)(F)F)ccc5OC(C)=O)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,,149,4.42,19.9,84.2,3.48,https://linkinghub.elsevier.com/retrieve/pii/S0376738811006946,
*c1nc2cc(C(c3ccc4oc(-c5cc(C(c6ccc(OC(C)=O)c(*)c6)(C(F)(F)F)C(F)(F)F)ccc5OC(C)=O)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,,223,10.1,35.2,183,8.53,https://linkinghub.elsevier.com/retrieve/pii/S0376738811006946,
*c1cccc(C(c2cccc(-c3nc4cc(C(c5ccc6oc(*)nc6c5)(C(F)(F)F)C(F)(F)F)ccc4o3)c2)(C(F)(F)F)C(F)(F)F)c1,,294,12.6,52.5,261,7.5,https://doi.org/10.1021/acs.macromol.5b00298,
*c1nc2cc(C(c3ccc4oc(*)nc4c3)(C(F)(F)F)C(F)(F)F)ccc2o1,,5122,235,1171,5440,145, https://doi.org/10.1039/c6cc06609g,
*c1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(O)c2)cc1O,,147,3.7,18.1,73,2.2,https://doi.org/10.1016/j.polymer.2015.07.024,
*c1cc(-c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)ccc1O,,67,0.81,5.1,16.2,0.3,https://doi.org/10.1016/j.polymer.2015.07.024,
*c1cc(-c2ccc(O)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(*)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c2)ccc1O,,165,4,20,75,2.02,https://doi.org/10.1016/j.polymer.2015.07.024,
